data,produto,cidade,quantidade,valor_unitario
12/06/2024,Mouse,Belo Horizonte,5,48.72
05/02/2024,Notebook,Belo Horizonte,2,3117.65
23/01/2024,Monitor,São Paulo,4,863.43
29/02/2024,Teclado,São Paulo,4,145.48
15/06/2024,Notebook,Rio de Janeiro,4,2984.76
12/03/2024,Headset,São Paulo,4,206.12
27/06/2024,Teclado,São Paulo,3,145.73
27/03/2024,Mouse,São Paulo,4,49.29
29/03/2024,Monitor,Curitiba,1,920.68
17/05/2024,Mouse,Salvador,3,47.89
16/03/2024,Headset,Rio de Janeiro,7,207.23
27/05/2024,Mouse,São Paulo,3,50.81
15/03/2024,Headset,Curitiba,2,207.33
07/04/2024,Mouse,Rio de Janeiro,6,49.32
04/04/2024,Teclado,Belo Horizonte,5,153.03
23/06/2024,Monitor,Rio de Janeiro,7,870.4
03/03/2024,Mouse,São Paulo,3,52.45
12/06/2024,Monitor,São Paulo,3,884.19
15/01/2024,Mouse,São Paulo,4,49.08
09/03/2024,Mouse,Salvador,4,50.34
21/03/2024,Mouse,Rio de Janeiro,4,51.92
13/06/2024,Teclado,São Paulo,5,146.2
23/05/2024,Teclado,Belo Horizonte,2,148.93
29/05/2024,Teclado,São Paulo,4,157.46
10/05/2024,Teclado,Belo Horizonte,4,155.42
09/02/2024,Monitor,Belo Horizonte,4,892.99
17/01/2024,Teclado,Rio de Janeiro,6,149.52
05/03/2024,Headset,Curitiba,1,190.23
30/01/2024,Monitor,Rio de Janeiro,2,879.01
13/06/2024,Teclado,São Paulo,5,144.87
01/01/2024,Headset,Curitiba,4,195.27
08/05/2024,Notebook,Rio de Janeiro,2,2881.92
09/06/2024,Mouse,Rio de Janeiro,12,50.54
09/02/2024,Teclado,São Paulo,4,156.8
15/05/2024,Headset,Rio de Janeiro,5,199.77
29/01/2024,Headset,Curitiba,3,206.63
19/03/2024,Mouse,São Paulo,2,50.34
21/01/2024,Mouse,Rio de Janeiro,7,47.85
16/05/2024,Notebook,São Paulo,5,2992.58
20/05/2024,Mouse,Rio de Janeiro,2,50.53
24/02/2024,Headset,Belo Horizonte,4,203.8
20/03/2024,Teclado,Belo Horizonte,4,148.1
12/05/2024,Teclado,São Paulo,9,143.46
06/01/2024,Monitor,São Paulo,9,874.82
19/01/2024,Notebook,São Paulo,4,2870.22
09/01/2024,Headset,São Paulo,3,194.76
20/06/2024,Teclado,Rio de Janeiro,4,153.35
26/05/2024,Monitor,São Paulo,6,897.57
14/04/2024,Mouse,São Paulo,3,49.66
18/04/2024,Teclado,Curitiba,7,143.31
16/06/2024,Headset,São Paulo,3,198.05
27/03/2024,Headset,São Paulo,6,193.83
17/05/2024,Teclado,Rio de Janeiro,5,146.68
04/03/2024,Headset,São Paulo,4,206.16
20/05/2024,Mouse,Belo Horizonte,3,50.2
04/01/2024,Headset,Salvador,4,206.97
12/02/2024,Teclado,Rio de Janeiro,3,155.47
16/01/2024,Mouse,São Paulo,7,49.45
26/04/2024,Mouse,Belo Horizonte,3,51.15
22/05/2024,Monitor,Rio de Janeiro,7,872.09
25/02/2024,Headset,Rio de Janeiro,6,200.84
21/03/2024,Mouse,Rio de Janeiro,1,50.01
15/05/2024,Mouse,Salvador,6,47.9
17/02/2024,Mouse,São Paulo,1,51.81
13/04/2024,Mouse,Curitiba,10,48.73
01/06/2024,Mouse,São Paulo,4,50.79
24/05/2024,Teclado,Salvador,5,145.56
21/03/2024,Mouse,São Paulo,4,50.86
17/03/2024,Teclado,Salvador,9,156.54
03/01/2024,Teclado,Salvador,9,157.44
19/01/2024,Teclado,Rio de Janeiro,5,144.49
30/03/2024,Headset,Curitiba,3,197.39
10/02/2024,Teclado,Rio de Janeiro,6,147.04
16/06/2024,Teclado,Belo Horizonte,1,150.82
18/06/2024,Mouse,Curitiba,1,48.82
28/01/2024,Notebook,São Paulo,4,2934.53
23/02/2024,Notebook,São Paulo,5,3040.27
08/03/2024,Teclado,São Paulo,2,156.12
14/01/2024,Mouse,Rio de Janeiro,9,48.88
01/01/2024,Teclado,São Paulo,4,157.2
11/02/2024,Notebook,Rio de Janeiro,1,2978.31
03/01/2024,Mouse,Salvador,5,50.96
08/02/2024,Teclado,Curitiba,2,151.24
07/02/2024,Teclado,São Paulo,7,147.97
11/01/2024,Headset,São Paulo,4,194.99
27/01/2024,Teclado,Rio de Janeiro,3,155.62
07/06/2024,Notebook,Salvador,2,2921.02
11/02/2024,Headset,Curitiba,1,207.63
07/01/2024,Mouse,Salvador,6,51.41
15/04/2024,Headset,Curitiba,3,206.21
09/03/2024,Mouse,Belo Horizonte,7,49.41
10/01/2024,Headset,São Paulo,6,206.33
27/04/2024,Teclado,Curitiba,3,155.57
27/02/2024,Mouse,São Paulo,1,49.14
18/01/2024,Headset,São Paulo,6,202.83
12/04/2024,Monitor,Curitiba,6,884.8
08/01/2024,Mouse,Salvador,2,48.39
08/03/2024,Mouse,Rio de Janeiro,1,49.23
21/03/2024,Teclado,Salvador,3,144.23
27/05/2024,Mouse,São Paulo,3,49.68
13/05/2024,Headset,Rio de Janeiro,3,204.39
20/06/2024,Mouse,Rio de Janeiro,7,52.24
25/03/2024,Monitor,Belo Horizonte,7,866.22
17/03/2024,Teclado,Belo Horizonte,9,147.39
27/06/2024,Mouse,São Paulo,6,49.6
07/04/2024,Monitor,Salvador,1,910.4
18/03/2024,Teclado,Curitiba,3,147.06
23/02/2024,Teclado,Rio de Janeiro,6,152.32
29/04/2024,Teclado,Belo Horizonte,6,150.17
13/02/2024,Monitor,São Paulo,2,914.75
07/06/2024,Teclado,Curitiba,5,153.77
21/06/2024,Teclado,Curitiba,4,144.71
12/01/2024,Mouse,Rio de Janeiro,3,51.75
19/01/2024,Teclado,Curitiba,3,151.14
27/06/2024,Teclado,São Paulo,3,144.71
25/06/2024,Mouse,Belo Horizonte,7,51.35
28/01/2024,Notebook,São Paulo,7,3091.23
27/06/2024,Teclado,São Paulo,2,146.24
01/02/2024,Teclado,Curitiba,2,152.51
23/05/2024,Monitor,Salvador,2,935.23
05/06/2024,Headset,Curitiba,6,198.53
20/05/2024,Teclado,São Paulo,4,155.42
25/04/2024,Mouse,São Paulo,2,50.69
13/05/2024,Teclado,São Paulo,4,149.1
14/03/2024,Mouse,São Paulo,7,51.97
21/01/2024,Mouse,São Paulo,4,50.97
29/06/2024,Mouse,Rio de Janeiro,9,49.15
29/04/2024,Teclado,São Paulo,3,148.8
29/05/2024,Headset,São Paulo,2,207.61
27/05/2024,Teclado,São Paulo,8,147.78
09/04/2024,Headset,Salvador,9,198.38
19/05/2024,Notebook,Curitiba,1,2996.47
10/03/2024,Teclado,São Paulo,6,147.54
22/06/2024,Notebook,Belo Horizonte,10,3102.15
02/02/2024,Headset,Rio de Janeiro,2,208.14
31/05/2024,Monitor,São Paulo,10,912.85
04/02/2024,Headset,São Paulo,6,195.2
24/03/2024,Mouse,São Paulo,6,51.31
07/04/2024,Mouse,Salvador,10,49.61
21/01/2024,Teclado,Belo Horizonte,4,143.28
30/03/2024,Mouse,São Paulo,1,52.29
11/01/2024,Notebook,Salvador,5,2909.81
06/01/2024,Monitor,São Paulo,1,897.62
30/01/2024,Monitor,São Paulo,4,917.95
04/04/2024,Mouse,Rio de Janeiro,6,51.24
30/01/2024,Notebook,São Paulo,6,2943.31
28/05/2024,Mouse,São Paulo,5,50.89
06/04/2024,Teclado,Belo Horizonte,3,143.64
25/06/2024,Headset,São Paulo,2,203.94
18/03/2024,Headset,Rio de Janeiro,2,192.42
24/05/2024,Notebook,São Paulo,3,2978.51
04/04/2024,Mouse,Rio de Janeiro,4,47.56
17/04/2024,Headset,São Paulo,2,209.22
11/06/2024,Headset,Rio de Janeiro,2,193.06
15/02/2024,Notebook,Salvador,2,2931.02
17/05/2024,Notebook,Rio de Janeiro,3,3097.72
31/05/2024,Mouse,Curitiba,4,51.65
23/01/2024,Mouse,Rio de Janeiro,3,51.25
25/05/2024,Monitor,São Paulo,4,857.58
24/03/2024,Mouse,São Paulo,6,51.49
28/03/2024,Mouse,Rio de Janeiro,3,51.9
22/05/2024,Mouse,Salvador,5,47.93
14/04/2024,Teclado,Belo Horizonte,7,152.86
14/06/2024,Notebook,Rio de Janeiro,2,2855.17
16/03/2024,Mouse,Belo Horizonte,4,49.03
28/05/2024,Teclado,Rio de Janeiro,2,147.66
20/05/2024,Teclado,Belo Horizonte,3,146.56
05/03/2024,Mouse,Belo Horizonte,4,49.08
17/05/2024,Headset,Belo Horizonte,3,193.83
03/05/2024,Mouse,Rio de Janeiro,5,51.3
01/06/2024,Mouse,São Paulo,6,48.47
28/02/2024,Teclado,São Paulo,5,153.12
02/02/2024,Mouse,Salvador,2,50.27
27/06/2024,Headset,Rio de Janeiro,2,205.06
27/01/2024,Headset,Rio de Janeiro,3,199.39
22/04/2024,Teclado,Salvador,3,146.29
02/05/2024,Mouse,São Paulo,3,49.96
27/05/2024,Monitor,São Paulo,6,868.43
24/05/2024,Headset,São Paulo,6,194.96
22/05/2024,Notebook,Rio de Janeiro,3,3087.22
27/02/2024,Notebook,São Paulo,3,3122.55
17/03/2024,Headset,Salvador,6,196.11
07/06/2024,Mouse,Salvador,3,48.0
23/02/2024,Monitor,São Paulo,2,862.31
02/03/2024,Mouse,São Paulo,4,47.51
25/04/2024,Monitor,Rio de Janeiro,6,857.94
14/03/2024,Notebook,Belo Horizonte,6,2986.21
24/06/2024,Mouse,São Paulo,4,51.46
30/05/2024,Monitor,Salvador,5,893.26
19/05/2024,Mouse,São Paulo,3,48.83
06/02/2024,Mouse,São Paulo,4,49.04
25/05/2024,Headset,Rio de Janeiro,7,199.37
18/03/2024,Monitor,Salvador,4,900.04
06/05/2024,Teclado,Rio de Janeiro,4,155.84
23/03/2024,Monitor,São Paulo,6,875.6
21/06/2024,Headset,Rio de Janeiro,4,209.02
21/06/2024,Headset,Rio de Janeiro,6,205.26
14/02/2024,Teclado,Belo Horizonte,4,156.24
16/02/2024,Headset,Rio de Janeiro,6,206.28
24/01/2024,Teclado,Rio de Janeiro,3,147.32
27/01/2024,Headset,São Paulo,4,203.87
14/03/2024,Monitor,Rio de Janeiro,6,923.44
10/01/2024,Teclado,São Paulo,4,147.35
13/04/2024,Headset,Curitiba,6,190.02
18/05/2024,Teclado,São Paulo,6,150.28
08/06/2024,Notebook,Rio de Janeiro,10,3078.0
22/02/2024,Mouse,São Paulo,7,48.94
27/06/2024,Teclado,São Paulo,4,151.95
02/03/2024,Notebook,São Paulo,9,2854.1
14/04/2024,Mouse,Salvador,4,52.06
28/04/2024,Headset,Rio de Janeiro,7,193.08
15/03/2024,Teclado,São Paulo,4,155.02
30/04/2024,Mouse,Rio de Janeiro,3,49.42
02/06/2024,Teclado,Curitiba,7,155.46
11/03/2024,Notebook,Curitiba,2,2951.96
09/05/2024,Mouse,São Paulo,4,51.13
30/05/2024,Monitor,Belo Horizonte,2,932.87
24/04/2024,Teclado,São Paulo,4,150.78
19/05/2024,Teclado,Salvador,6,155.54
27/06/2024,Mouse,São Paulo,2,51.78
15/04/2024,Mouse,Belo Horizonte,3,51.03
07/04/2024,Teclado,Belo Horizonte,7,154.81
08/02/2024,Teclado,São Paulo,3,150.03
31/05/2024,Teclado,São Paulo,6,155.18
26/01/2024,Teclado,Rio de Janeiro,1,153.34
14/04/2024,Headset,Salvador,6,191.5
08/03/2024,Teclado,Belo Horizonte,3,152.25
25/03/2024,Headset,Curitiba,1,197.6
22/03/2024,Monitor,Curitiba,3,898.92
18/05/2024,Mouse,São Paulo,4,50.66
14/03/2024,Headset,Belo Horizonte,5,198.68
26/01/2024,Notebook,Belo Horizonte,3,2880.15
12/02/2024,Monitor,Salvador,2,859.14
15/01/2024,Mouse,São Paulo,2,48.23
15/05/2024,Teclado,Belo Horizonte,1,145.2
14/02/2024,Mouse,Curitiba,3,50.6
02/03/2024,Teclado,Rio de Janeiro,7,145.98
12/06/2024,Mouse,São Paulo,4,47.55
29/04/2024,Headset,Belo Horizonte,6,193.16
23/04/2024,Headset,Salvador,6,195.98
18/04/2024,Monitor,Rio de Janeiro,4,882.19
08/04/2024,Headset,São Paulo,5,197.63
01/04/2024,Monitor,Salvador,2,881.57
17/06/2024,Teclado,São Paulo,4,155.48
13/01/2024,Headset,Belo Horizonte,7,206.66
14/03/2024,Notebook,São Paulo,5,3090.58
26/02/2024,Monitor,Rio de Janeiro,4,916.0
17/06/2024,Monitor,São Paulo,3,863.74
09/06/2024,Monitor,São Paulo,4,894.67
28/05/2024,Teclado,São Paulo,4,156.14
24/03/2024,Notebook,São Paulo,6,2889.65
18/05/2024,Headset,São Paulo,7,200.04
10/03/2024,Headset,São Paulo,1,206.49
03/05/2024,Headset,São Paulo,3,207.41
30/01/2024,Teclado,São Paulo,5,153.81
27/02/2024,Headset,Belo Horizonte,3,209.6
22/05/2024,Teclado,Belo Horizonte,5,142.71
17/05/2024,Mouse,São Paulo,4,51.25
08/03/2024,Monitor,Curitiba,3,939.63
28/01/2024,Monitor,Rio de Janeiro,6,910.76
23/05/2024,Teclado,Rio de Janeiro,8,152.21
11/06/2024,Headset,Salvador,4,196.04
14/04/2024,Mouse,São Paulo,9,47.69
06/05/2024,Mouse,São Paulo,9,50.19
09/04/2024,Teclado,Belo Horizonte,2,153.65
18/05/2024,Teclado,Belo Horizonte,4,144.82
16/04/2024,Monitor,Curitiba,3,910.41
12/03/2024,Mouse,São Paulo,2,49.72
01/03/2024,Headset,São Paulo,4,203.71
19/05/2024,Headset,Rio de Janeiro,7,191.21
11/03/2024,Mouse,São Paulo,2,51.74
26/04/2024,Mouse,São Paulo,8,50.7
06/01/2024,Mouse,São Paulo,10,52.44
24/05/2024,Mouse,Curitiba,3,50.27
30/05/2024,Mouse,Curitiba,3,49.14
07/02/2024,Notebook,Rio de Janeiro,2,2933.18
07/02/2024,Headset,Rio de Janeiro,1,205.97
29/01/2024,Monitor,São Paulo,5,856.34
01/03/2024,Monitor,São Paulo,4,878.88
02/02/2024,Notebook,Rio de Janeiro,5,3073.7
01/05/2024,Teclado,São Paulo,6,151.4
25/04/2024,Teclado,Salvador,2,143.15
17/06/2024,Teclado,Rio de Janeiro,2,156.96
16/01/2024,Headset,Curitiba,3,198.53
28/01/2024,Teclado,Salvador,10,143.6
21/01/2024,Teclado,São Paulo,6,144.39
08/06/2024,Monitor,Rio de Janeiro,6,884.27
01/06/2024,Teclado,Rio de Janeiro,4,151.58
26/01/2024,Notebook,São Paulo,7,3046.41
21/05/2024,Notebook,São Paulo,2,2985.47
28/02/2024,Teclado,Curitiba,4,148.48
25/01/2024,Teclado,São Paulo,2,146.32
09/02/2024,Monitor,Rio de Janeiro,3,863.21
22/01/2024,Mouse,São Paulo,5,51.19
03/02/2024,Monitor,Rio de Janeiro,9,905.54
25/03/2024,Monitor,Rio de Janeiro,9,933.62
18/04/2024,Headset,Belo Horizonte,3,209.37
02/06/2024,Teclado,São Paulo,4,150.11
09/02/2024,Monitor,São Paulo,5,864.74
22/05/2024,Teclado,Belo Horizonte,1,151.11
19/04/2024,Headset,Salvador,5,206.37
06/06/2024,Monitor,Rio de Janeiro,4,909.81
17/06/2024,Headset,São Paulo,7,193.61
28/06/2024,Notebook,Salvador,3,2955.31
16/02/2024,Headset,Rio de Janeiro,3,198.02
06/02/2024,Notebook,Salvador,4,2877.53
15/05/2024,Mouse,Rio de Janeiro,7,49.2
04/04/2024,Teclado,São Paulo,1,156.62
01/06/2024,Mouse,São Paulo,7,48.29
07/06/2024,Mouse,São Paulo,5,49.72
18/04/2024,Teclado,Rio de Janeiro,4,146.6
11/05/2024,Mouse,Rio de Janeiro,7,48.92
22/06/2024,Monitor,Rio de Janeiro,7,882.76
26/02/2024,Teclado,Rio de Janeiro,5,142.62
18/03/2024,Headset,Belo Horizonte,2,205.28
15/03/2024,Teclado,São Paulo,6,153.71
14/02/2024,Mouse,Rio de Janeiro,7,48.65
23/05/2024,Headset,Curitiba,1,191.44
11/01/2024,Teclado,Rio de Janeiro,5,143.67
21/03/2024,Monitor,Rio de Janeiro,3,918.85
16/04/2024,Mouse,Rio de Janeiro,3,52.33
13/02/2024,Headset,Rio de Janeiro,4,206.64
02/04/2024,Mouse,Curitiba,2,48.72
30/05/2024,Teclado,São Paulo,2,155.56
